Year,Month,Day,S5_CO2
2023,1,1,419.11
2023,1,2,419.12
2023,1,3,419.12
2023,1,4,419.13
2023,1,5,419.13
2023,1,6,419.14
2023,1,7,419.14
2023,1,8,419.15
2023,1,9,419.15
2023,1,10,419.16
2023,1,11,419.16
2023,1,12,419.17
2023,1,13,419.17
2023,1,14,419.18
2023,1,15,419.19
2023,1,16,419.19
2023,1,17,419.2
2023,1,18,419.21
2023,1,19,419.22
2023,1,20,419.23
2023,1,21,419.24
2023,1,22,419.25
2023,1,23,419.26
2023,1,24,419.27
2023,1,25,419.28
2023,1,26,419.3
2023,1,27,419.31
2023,1,28,419.32
2023,1,29,419.34
2023,1,30,419.35
2023,1,31,419.37
2023,2,1,419.39
2023,2,2,419.41
2023,2,3,419.42
2023,2,4,419.44
2023,2,5,419.46
2023,2,6,419.48
2023,2,7,419.5
2023,2,8,419.53
2023,2,9,419.55
2023,2,10,419.57
2023,2,11,419.59
2023,2,12,419.62
2023,2,13,419.64
2023,2,14,419.67
2023,2,15,419.69
2023,2,16,419.72
2023,2,17,419.74
2023,2,18,419.77
2023,2,19,419.8
2023,2,20,419.82
2023,2,21,419.85
2023,2,22,419.88
2023,2,23,419.9
2023,2,24,419.93
2023,2,25,419.96
2023,2,26,419.98
2023,2,27,420.01
2023,2,28,420.04
2023,3,1,420.06
2023,3,2,420.09
2023,3,3,420.12
2023,3,4,420.14
2023,3,5,420.17
2023,3,6,420.19
2023,3,7,420.22
2023,3,8,420.24
2023,3,9,420.27
2023,3,10,420.29
2023,3,11,420.32
2023,3,12,420.34
2023,3,13,420.36
2023,3,14,420.39
2023,3,15,420.41
2023,3,16,420.43
2023,3,17,420.45
2023,3,18,420.47
2023,3,19,420.49
2023,3,20,420.51
2023,3,21,420.53
2023,3,22,420.55
2023,3,23,420.57
2023,3,24,420.59
2023,3,25,420.6
2023,3,26,420.62
2023,3,27,420.64
2023,3,28,420.65
2023,3,29,420.67
2023,3,30,420.69
2023,3,31,420.7
2023,4,1,420.72
2023,4,2,420.73
2023,4,3,420.75
2023,4,4,420.76
2023,4,5,420.77
2023,4,6,420.79
2023,4,7,420.8
2023,4,8,420.81
2023,4,9,420.83
2023,4,10,420.84
