,Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count,Temp_Avg
0,12/22/2017,10:49:41,24.94,24.75,24.56,25.38,121,34,53,40,0.08,0.19,0.06,0.06,390,0.769230769,0,0,1,24.9075
1,12/22/2017,10:50:12,24.94,24.75,24.56,25.44,121,33,53,40,0.93,0.05,0.06,0.06,390,0.646153846,0,0,1,24.9225
2,12/22/2017,10:50:42,25,24.75,24.5,25.44,121,34,53,40,0.43,0.11,0.08,0.06,390,0.519230769,0,0,1,24.9225
3,12/22/2017,10:51:13,25,24.75,24.56,25.44,121,34,53,40,0.41,0.1,0.1,0.09,390,0.388461538,0,0,1,24.9375
4,12/22/2017,10:51:44,25,24.75,24.56,25.44,121,34,54,40,0.18,0.06,0.06,0.06,390,0.253846154,0,0,1,24.9375
5,12/22/2017,10:52:14,25,24.81,24.56,25.44,121,34,54,40,0.13,0.06,0.06,0.07,390,0.165384615,0,0,1,24.9525
6,12/22/2017,10:52:45,25,24.75,24.56,25.44,120,34,54,40,1.39,0.32,0.43,0.06,390,0.076923077,1,0,1,24.9375
7,12/22/2017,10:53:15,25,24.81,24.56,25.44,121,34,54,41,0.09,0.06,0.09,0.05,390,-0.011538462,0,0,1,24.9525
8,12/22/2017,10:53:46,25,24.81,24.56,25.5,122,35,56,43,0.09,0.05,0.06,0.13,390,-0.1,0,0,1,24.9675
9,12/22/2017,10:54:17,25,24.81,24.56,25.5,101,34,57,43,3.84,0.64,0.48,0.39,390,-0.188461538,1,1,1,24.9675
10,12/22/2017,10:54:47,25.06,24.81,24.56,25.44,122,35,57,43,2.2,0.31,0.33,0.21,390,-0.276923077,1,1,1,24.9675
11,12/22/2017,10:55:18,25.06,24.81,24.56,25.5,123,35,57,44,0.42,0.13,0.14,0.09,390,-0.365384615,1,0,1,24.9825
12,12/22/2017,10:55:49,25.06,24.88,24.63,25.5,123,35,57,43,0.21,0.15,0.07,0.06,390,-0.453846154,1,0,1,25.0175
13,12/22/2017,10:56:19,25.06,24.81,24.63,25.56,123,35,57,44,1.66,0.21,0.12,0.09,390,-0.542307692,1,0,1,25.015
14,12/22/2017,10:56:50,25.06,24.88,24.63,25.56,123,35,58,44,0.57,0.17,0.21,0.13,390,-0.630769231,1,0,1,25.0325
